"fec_id","name","incumbency","party_code","party","total_receipts","transfers_from_auth_cmte","total_disbursements","transfers_to_auth_cmte","cash_beginning","cash_end","cand_contr","cand_loans","other_loans","cand_loan_repay","other_loan_repay","debts_owed","total_indiv_contributions","office_state","district","spec_elec","prim_elec","run_elec","gen_elec","gen_perc","other_cmte_contr","contr_from_party","coverage_end_date","indiv_refunds","cmte_refunds"
"H2AK01158","PELTOLA, MARY","C",1,"DEM",110462.16,0,115900.6,0,83969.49,78531.05,0,0,0,0,0,0,29865.47,"AK",0,NA,NA,NA,NA,NA,8500,0,"06/30/2025",16053.35,0
"H2AK01083","BEGICH, NICHOLAS III","I",2,"REP",1627708.61,635795.96,465027.58,0,104330.06,1267011.09,0,0,0,0,0,425000,603462.65,"AK",0,NA,NA,NA,NA,NA,383450,5000,"06/30/2025",31471.93,0
"H0AL01055","CARL, JERRY LEE, JR","C",2,"REP",7120.6,0,12505.11,0,69290.42,63905.91,0,0,0,0,0,254535.87,61.2,"AL",1,NA,NA,NA,NA,NA,7059.4,0,"06/30/2025",2500,3500
"H8AL02171","MOORE, FELIX BARRY","I",2,"REP",259802.91,0,132167.02,0,125131.66,252767.55,0,0,0,0,0,0,182697.91,"AL",1,NA,NA,NA,NA,NA,77105,0,"06/30/2025",500,2500
"H4AL02170","FIGURES, SHOMARI C.","I",1,"DEM",329834.45,0,166879.6,0,23108.87,186063.72,0,0,0,0,0,12000,78555.03,"AL",2,NA,NA,NA,NA,NA,249050,0,"06/30/2025",50,0
"H2AL03032","ROGERS, MICHAEL","I",2,"REP",904270.16,0,433543.07,5000,1922334.3,2393061.39,0,0,0,0,0,0,601361.64,"AL",3,NA,NA,NA,NA,NA,275975,6000,"06/30/2025",4.07,12500
"H6AL03181","LAPOINT, TERRI","C",2,"REP",2780,0,740.3,0,0,2039.7,0,0,0,0,0,0,2780,"AL",3,NA,NA,NA,NA,NA,0,0,"06/30/2025",0,0
"H6AL04098","ADERHOLT, ROBERT B. REP.","I",2,"REP",240878.4,0,229534.34,0,966896.34,978240.4,0,0,0,0,0,0,83164.43,"AL",4,NA,NA,NA,NA,NA,144750,0,"06/30/2025",0,2500
"H6AL05210","HOWARD, GREG MR JR","C",1,"DEM",2776.23,2276.23,2189.95,0,0,586.28,0,0,0,0,0,0,500,"AL",5,NA,NA,NA,NA,NA,0,0,"06/30/2025",0,0
"H6AL05236","DEVITO, JEREMY","C",1,"DEM",4106.55,0,0,0,0,4106.55,0,0,0,0,0,0,4106.55,"AL",5,NA,NA,NA,NA,NA,0,0,"06/30/2025",0,0
"H6AL05244","SNEED, ANDREW RANKIN GUYTON","C",1,"DEM",120915,0,14723.62,0,0,106191.38,20000,0,0,0,0,0,100915,"AL",5,NA,NA,NA,NA,NA,0,0,"06/30/2025",5000,0
"H6AL05251","DUVIEILH, CANDICE","",1,"DEM",7872,0,4269.13,0,0,3602.87,0,0,0,0,0,0,7872,"AL",5,NA,NA,NA,NA,NA,0,0,"06/30/2025",0,0
"H2AL05102","STRONG, DALE WHITNEY","I",2,"REP",569770.61,0,184976.48,0,628977.42,1013771.55,0,0,0,0,0,240000,325970.61,"AL",5,NA,NA,NA,NA,NA,243800,0,"06/30/2025",9700,0
"H4AL06098","PALMER, GARY","I",2,"REP",314873.18,13532.41,171083.59,0,153239.32,297028.91,0,0,0,0,0,0,196056.37,"AL",6,NA,NA,NA,NA,NA,105000,0,"06/30/2025",0,0
"H6AL06135","DIXON, CASE","C",2,"REP",14542.37,0,9113.64,0,0,5428.73,186.91,8600,0,0,0,8600,5673.38,"AL",6,NA,NA,NA,NA,NA,0,0,"06/30/2025",0,0
"H0AL07086","SEWELL, TERRI A.","I",1,"DEM",593149.42,0,461209.9,0,3470560.9,3602500.42,0,0,0,0,0,0,82421.94,"AL",7,NA,NA,NA,NA,NA,510500,0,"06/30/2025",551,0
"H0AR01083","CRAWFORD, ERIC ALAN RICK","I",2,"REP",247790.42,0,165304.03,0,830826.86,913313.25,0,0,0,0,0,0,92119.43,"AR",1,NA,NA,NA,NA,NA,139500,0,"06/30/2025",0,0
