"committee_id","committee_name","committee_type","committee_dsgn","filing_freq","total_receipts","transfers_from_affiliates","individual_contributions","other_cmte_contributions","cand_contr","cand_loans","total_loans","total_disbursements","transfers_to_affiliates","indiv_refunds","other_cmte_refunds","cand_loan_repay","loan_repay","cash_beginning","cash_end","debts_owed","nonfed_trans_received","contr_other_cmte","ind_expend","party_coordinated_expenses","nonfed_share_expenses","coverage_end_date"
"C00000059","HALLMARK CARDS, INC. PAC (HALLPAC)","Q","B","M",26792.24,0,21792.24,0,0,0,0,50000,0,0,0,0,0,144285.41,121077.65,0,0,50000,0,0,0,"07/31/2025"
"C00000422","AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","Q","B","M",730017.06,0,689955.71,0,0,0,0,284712.43,0,2700,0,0,0,488089.41,933394.04,0,0,226000,0,0,0,"06/30/2025"
"C00000489","D R I V E POLITICAL FUND CHAPTER 886","N","U","Q",27482.38,9906.88,0,0,0,0,0,500,0,0,0,0,0,74831.86,101814.2,0,0,0,0,0,0,"06/30/2025"
"C00000729","AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE","Q","B","Q",677075.76,225,649229.59,0,0,0,0,418773.03,0,40,0,0,0,117462,375764.73,0,0,405500,0,0,0,"06/30/2025"
"C00000885","INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE","Q","B","M",795791.01,0,732826.97,0,0,0,0,289001,0,0,0,0,0,5614879.95,6121669.96,0,0,138500,0,0,0,"06/30/2025"
"C00000901","BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC)","Q","B","M",797802.35,0,766582.42,5000,0,0,0,733666.09,0,8855.41,0,0,0,814872.98,879009.24,0,0,668000,0,0,0,"06/30/2025"
"C00000935","DCCC","Y","U","M",66009100,4097162.1,33896501.38,16759941.41,0,0,0,50523964.54,66520,184738.7,25000,0,2e+07,24232592.09,39717727.55,0,0,46093.97,0,0,0,"06/30/2025"
"C00000984","UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC)","Q","B","M",57647.58,0,40039.03,17500,0,0,0,19500,0,0,0,0,0,75985.04,114132.62,0,0,19500,0,0,0,"06/30/2025"
"C00001016","CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS","Q","B","M",733147.49,0,733147.49,0,0,0,0,374412.49,0,100.41,0,0,0,333613.53,692348.53,0,0,322500,0,0,0,"06/30/2025"
"C00001180","MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY","Q","U","Q",0,0,0,0,0,0,0,0,0,0,0,0,0,20611.5,20611.5,0,0,0,0,0,0,"06/30/2025"
