report_year,country_name,client_lobby_actor_id,combined_name,organization_id,organization_type_id,total
2006,Ireland,40757,Accenture plc,33683,1004,3958964
2006,United Kingdom,20225,GSK plc,34599,1004,3511000
2006,Switzerland,79352,F. Hoffmann-La Roche Ltd.,44018,1004,3364454
2006,Canada,308451,Canadian National Railway Co.,55243,1004,1900000
2006,Luxembourg,65751,Intelsat SA,51837,1004,1441280
2006,Japan,297014,Toshiba Corp.,68746,1020,1400000
2006,United Kingdom,112293,Lloyd's of London,51179,1017,1380000
2006,United Kingdom,28611,Barclays plc,40171,1004,800000
2006,France,51758,BNP Paribas SA,58132,1004,700000
2006,Hong Kong,327213,Lenovo Group Ltd.,63911,1004,686878
2006,Switzerland,14823,Zurich Insurance Group Ltd.,46080,1004,670000
2006,Russia,64484,GML Ltd.,56815,1022,600000
2006,Denmark,343429,Bavarian Nordic AS,68750,1004,520000
2006,Canada,50759,BlackBerry Ltd.,39684,1004,500000
2006,Germany,101576,Mercedes-Benz Group AG,32477,1004,480000
2006,Iceland,18522,Actavis Group,39311,1004,440000
2006,Iraq,342328,"Government of Kurdistan, Iraq",41486,1009,360000
2006,Philippines,220031,Confederation of Garment Exporters of the Philippines,52618,1024,340000
2006,United Kingdom,21068,InterContinental Hotels Group plc,42180,1004,320000
2006,Singapore,37324,APL Ltd.,39843,1004,320000
2006,Canada,325641,Standard Aero Holdings Inc.,53200,1027,320000
2006,South Korea,11132,Hyundai Motor America,35417,1004,300000
2006,United Kingdom,136626,Martin-Baker Aircraft Co. Ltd.,51104,1004,300000
2006,Switzerland,28071,Novartis AG,32084,1004,290000
2006,Germany,41256,SWK Stadtwerke Kaiserslautern GmbH,60235,1022,280000
2006,India,266833,National Association of Software and Services Companies,36006,1024,280000
2006,Germany,55354,ZF TRW Automotive Inc.,61887,1004,280000
2006,Azerbaijan,96398,Renaissance Associates SA,50995,1017,280000
2006,Ireland,196504,Trane Technologies plc,105856,1004,260000
2006,Israel,154546,Rafael Advanced Defense Systems Ltd.,62196,1004,240000
2006,Germany,49921,Deutsche Bank AG,32798,1004,240000
2006,Canada,5583,J.D. Irving Ltd.,41132,1004,240000
2006,Canada,64761,Cangene Corp.,44384,1004,240000
2006,Canada,162706,Interactive Gaming Council,68910,1001,240000
2006,Norway,165468,Equinor ASA,46604,1004,226921
2006,Canada,17785,Bombardier Inc.,34341,1004,225000
2006,Canada,18900,Electricity Canada,52083,1001,220000
2006,United Kingdom,25370,Amec Foster Wheeler plc,31638,1004,220000
2006,Venezuela,343388,Petroleos de Venezuela SA,68287,1022,220000
2006,United Kingdom,82004,Cobham plc,62041,1004,200000
2006,United Kingdom,202,Standard Chartered plc,55727,1017,200000
2006,Canada,64320,Ovintiv Inc.,35590,1004,200000
2006,Germany,190800,Fresenius Medical Care AG and Co. KGaA,43697,1004,180000
2006,France,210563,ENGIE SA,52162,1004,160000
2006,France,217639,Airbus SAS,33756,1004,160000
