registrant_lobby_actor_id,firm,lobbyists
86155,Cornerstone Government Affairs Inc.,105
206073,U.S. Chamber of Commerce,103
2963,Brownstein Hyatt Farber Schreck LLP,92
155323,Holland & Knight LLP,79
333756,Akin Gump Strauss Hauer & Feld LLP,78
89092,Invariant LLC,65
345018,Squire Patton Boggs,54
298776,BGR Government Affairs LLC,53
8626,Venn Strategies LLC,51
174809,K&L Gates LLP,50
343878,FGS Global (US) LLC,48
6701,Venable LLP,47
201523,Lewis-Burke Associates LLC,43
323979,Capitol Counsel LLC,42
155546,Van Scoyoc Associates Inc.,42
343303,Arnold & Porter Kaye Scholer LLP,42
348005,Prosek LLC,37
231992,Ballard Partners LLC,36
76336,Covington & Burling LLP,35
345199,Boeing Co.,35
343176,Hogan Lovells US LLP,34
57837,Forbes Tate Partners LLC,33
344360,Mercury Public Affairs LLC,33
169628,Thorn Run Partners,33
325634,Amazon Corporate LLC,33
188967,Cassidy & Associates Inc.,33
70834,American Hospital Association,32
55106,DLA Piper LLP (US),31
47502,Nature Conservancy,31
112679,Van Ness Feldman LLP,30
237708,Boundary Stone Partners LLC,30
306043,Pharmaceutical Research and Manufacturers of America,30
244792,Vogel Group LLC,30
4658,Raben Group LLC,29
163477,Steptoe LLP,29
65602,Edelman,29
343863,ArentFox Schiff LLP,28
221146,AARP Inc.,28
92116,Monument Advocacy,28
84761,Strategic Marketing Innovations Inc.,27
58480,Williams & Jensen PLLC,27
201566,American Bankers Association,26
20937,American Federation of Government Employees,26
209577,Crossroads Strategies LLC,26
241463,MMGY Global LLC,25
49807,National Association of Realtors,25
57099,Business Roundtable Inc.,24
29779,American Medical Association,24
671,Washington Council Ernst & Young,24
70959,Alston & Bird LLP,24
175545,National Association of Manufacturers,24
238237,VNF Solutions LLC,23
344333,Dentons US LLP,23
161518,Mehlman Consulting Inc.,23
296554,RTX Corp.,22
264964,Teneo Strategy LLC,22
207668,Lockheed Martin Corp.,22
359079,National Women's Law Center Action Fund,22
105972,McAllister & Quinn LLC,21
171453,Prime Policy Group,21
22796,Friends Committee on National Legislation,21
68326,Ferguson Group LLC,21
6226,Townsend Public Affairs Inc.,21
291789,Forward Global US Inc.,21
319668,FTI Consulting (SC) Inc.,20
216944,Kelley Drye & Warren LLP,20
353420,America's Credit Unions,20
243708,HB Strategies,20
68169,Zeno Group Inc.,20
208095,FTI Consulting Inc.,20
169381,Securities Industry and Financial Markets Association,20
80948,Tiber Creek Group Inc.,20
316648,S-3 Group,19
339588,Alpine Group Partners LLC,19
60450,McGuireWoods Consulting LLC,19
169882,ACG Advocacy LLC,19
315136,Biotechnology Innovation Organization,19
47128,NVG LLC,18
316850,AHIP,18
