person_id,Chamber,us_state_id,party_name,display_name,staff_count,total_staff_experience,average_staff_experience,chief_of_staff_experience
2968,House,OK,Republican,Rep. Josh Brecheen R-OK-2,15,152.0556929,10.13704619,7
3265,House,TX,Republican,Rep. Chip Roy R-TX-21,15,164.7854654,10.98569769,20
3787,House,NC,Republican,Rep. David Rouzer R-NC-7,20,293.4918066,14.67459033,5
5061,House,MA,Democrat,Rep. Ayanna Pressley D-MA-7,19,152.3849346,8.020259716,5
6774,Senate,AL,Republican,Sen. Katie Britt R-AL,37,41.68788012,1.126699463,5
15290,House,MA,Democrat,Rep. Lori Trahan D-MA-3,18,177.3819756,9.854554199,12
16683,House,NY,Republican,Rep. Nick Langworthy R-NY-23,18,133.350892,7.408382892,8
16857,House,CA,Republican,Rep. Young Kim R-CA-40,17,189.5883236,11.15225433,6
17888,House,CA,Republican,Rep. Vince Fong R-CA-20,15,138.6559453,9.243729685,11
22560,House,IN,Republican,Rep. Marlin Stutzman R-IN-3,15,132.0144378,8.800962521,19
23261,House,OR,Democrat,Rep. Andrea Salinas D-OR-6,17,173.6487676,10.21463339,19
24817,House,SC,Republican,Rep. William Timmons R-SC-4,13,106.1829119,8.167916297,19
25648,Senate,NJ,Democrat,Sen. Andy Kim D-NJ,42,137.2239047,3.267235827,12
26827,House,WV,Republican,Rep. Riley Moore R-WV-2,15,174.904265,11.66028434,5
26913,House,AS,Republican,Del. Amata Radewagen R-AS-1,18,110.1699915,6.120555084,16
27589,House,TX,Democrat,Rep. Marc Veasey D-TX-33,15,135.212258,9.014150533,19
32319,House,WI,Republican,Rep. Bryan Steil R-WI-1,39,224.9542026,5.768056476,20
34364,Senate,GA,Democrat,Sen. Jon Ossoff D-GA,67,134.2319584,2.003462066,16
39781,House,KY,Democrat,Rep. Morgan McGarvey D-KY-3,21,186.1591351,8.86472072,17
41337,House,CA,Democrat,Rep. Jimmy Gomez D-CA-34,14,206.7380354,14.76700253,17
43694,House,NC,Republican,Rep. Richard Hudson R-NC-9,19,220.592458,11.61012937,7
50654,House,CA,Democrat,Rep. Dave Min D-CA-47,14,154.5795494,11.04139638,6
51132,House,CA,Republican,Rep. Darrell Issa R-CA-48,18,190.5078839,10.58377133,7
51134,House,CA,Democrat,Rep. Linda Sánchez D-CA-38,17,126.6023135,7.447194913,6
