person_id,first_name,last_name,party_name,us_state_id,district_no,display_name,Chamber,current_staff_count,staff_departed,turnover_rate
189803,Jimmy,Patronis,Republican,FL,1,Rep. Jimmy Patronis R-FL-1,House,9,0,0
276525,Victoria,Spartz,Republican,IN,5,Rep. Victoria Spartz R-IN-5,House,10,4,0.4
495840,Derek,Schmidt,Republican,KS,2,Rep. Derek Schmidt R-KS-2,House,10,0,0
375113,Carlos,Giménez,Republican,FL,28,Rep. Carlos Giménez R-FL-28,House,11,5,0.45454545454545453
356900,Lauren,Boebert,Republican,CO,4,Rep. Lauren Boebert R-CO-4,House,11,4,0.36363636363636365
260201,Byron,Donalds,Republican,FL,19,Rep. Byron Donalds R-FL-19,House,11,4,0.36363636363636365
509056,Brian,Jack,Republican,GA,3,Rep. Brian Jack R-GA-3,House,11,4,0.36363636363636365
194760,Lance,Gooden,Republican,TX,5,Rep. Lance Gooden R-TX-5,House,11,3,0.2727272727272727
387213,Shri,Thanedar,Democrat,MI,13,Rep. Shri Thanedar D-MI-13,House,11,2,0.18181818181818182
51318,Ed,Case,Democrat,HI,1,Rep. Ed Case D-HI-1,House,11,0,0
364729,Anna,Luna,Republican,FL,13,Rep. Anna Luna R-FL-13,House,12,12,1
306837,Tim,Burchett,Republican,TN,2,Rep. Tim Burchett R-TN-2,House,12,7,0.5833333333333334
242992,Mike,Kennedy,Republican,UT,3,Rep. Mike Kennedy R-UT-3,House,12,7,0.5833333333333334
260571,Kevin,Kiley,Republican,CA,3,Rep. Kevin Kiley R-CA-3,House,12,5,0.4166666666666667
192276,Ryan,Zinke,Republican,MT,1,Rep. Ryan Zinke R-MT,House,12,4,0.3333333333333333
461790,Lateefah,Simon,Democrat,CA,12,Rep. Lateefah Simon D-CA-12,House,12,3,0.25
438624,Rudy,Yakym,Republican,IN,2,Rep. Rudy Yakym R-IN-2,House,12,3,0.25
167171,Julie,Fedorchak,Republican,ND,1,Rep. Julie Fedorchak R-ND,House,12,2,0.16666666666666666
86201,Jeff,Crank,Republican,CO,5,Rep. Jeff Crank R-CO-5,House,12,1,0.083333333
239412,Bob,Onder,Republican,MO,3,Rep. Bob Onder R-MO-3,House,12,1,0.083333333
356414,Burgess,Owens,Republican,UT,4,Rep. Burgess Owens R-UT-4,House,12,1,0.083333333
300526,Luz,Rivas,Democrat,CA,29,Rep. Luz Rivas D-CA-29,House,12,1,0.083333333
493583,Jefferson,Shreve,Republican,IN,6,Rep. Jefferson Shreve R-IN-6,House,12,1,0.083333333
241364,Craig,Goldman,Republican,TX,12,Rep. Craig Goldman R-TX-12,House,12,0,0
482859,Brad,Knott,Republican,NC,13,Rep. Brad Knott R-NC-13,House,12,0,0
441370,Jim,Moylan,Republican,GU,1,Del. Jim Moylan R-GU-1,House,13,8,0.6153846153846154
258012,Chuck,Edwards,Republican,NC,11,Rep. Chuck Edwards R-NC-11,House,13,7,0.5384615384615384
263761,Ashley,Hinson,Republican,IA,2,Rep. Ashley Hinson R-IA-2,House,13,7,0.5384615384615384
24817,William,Timmons,Republican,SC,4,Rep. William Timmons R-SC-4,House,13,7,0.5384615384615384
196208,Michelle,Fischbach,Republican,MN,7,Rep. Michelle Fischbach R-MN-7,House,13,6,0.46153846153846156
476979,Pat,Harrigan,Republican,NC,10,Rep. Pat Harrigan R-NC-10,House,13,6,0.46153846153846156
417207,Nick,Begich,Republican,AK,1,Rep. Nick Begich R-AK,House,13,5,0.38461538461538464
369725,Mary,Miller,Republican,IL,15,Rep. Mary Miller R-IL-15,House,13,4,0.3076923076923077
189831,Greg,Steube,Republican,FL,17,Rep. Greg Steube R-FL-17,House,13,4,0.3076923076923077
495551,Tony,Wied,Republican,WI,8,Rep. Tony Wied R-WI-8,House,13,4,0.3076923076923077
259506,Neal,Dunn,Republican,FL,2,Rep. Neal Dunn R-FL-2,House,13,3,0.23076923076923078
487250,Brandon,Gill,Republican,TX,26,Rep. Brandon Gill R-TX-26,House,13,3,0.23076923076923078
479918,Abe,Hamadeh,Republican,AZ,8,Rep. Abe Hamadeh R-AZ-8,House,13,3,0.23076923076923078
324209,Wesley,Hunt,Republican,TX,38,Rep. Wesley Hunt R-TX-38,House,13,2,0.15384615384615385
51564,Nancy,Pelosi,Democrat,CA,11,Rep. Nancy Pelosi D-CA-11,House,13,2,0.15384615384615385
190616,Randy,Feenstra,Republican,IA,4,Rep. Randy Feenstra R-IA-4,House,13,1,0.076923077
260192,Randy,Fine,Republican,FL,6,Rep. Randy Fine R-FL-6,House,13,1,0.076923077
239872,Adam,Gray,Democrat,CA,13,Rep. Adam Gray D-CA-13,House,13,1,0.076923077
66866,Dina,Titus,Democrat,NV,1,Rep. Dina Titus D-NV-1,House,13,1,0.076923077
458450,George,Whitesides,Democrat,CA,27,Rep. George Whitesides D-CA-27,House,13,1,0.076923077
443065,Gabe,Evans,Republican,CO,8,Rep. Gabe Evans R-CO-8,House,13,0,0
59063,Stacey,Plaskett,Democrat,VI,1,Del. Stacey Plaskett D-VI-1,House,13,0,0
196439,Nellie,Pou,Democrat,NJ,9,Rep. Nellie Pou D-NJ-9,House,13,0,0
431938,Laurel,Lee,Republican,FL,15,Rep. Laurel Lee R-FL-15,House,14,12,0.8571428571428571
313246,Mariannette,Miller-Meeks,Republican,IA,1,Rep. Mariannette Miller-Meeks R-IA-1,House,14,9,0.6428571428571429
66841,Tom,McClintock,Republican,CA,5,Rep. Tom McClintock R-CA-5,House,14,7,0.5
51654,Mike,Turner,Republican,OH,10,Rep. Mike Turner R-OH-10,House,14,7,0.5
194024,Cliff,Bentz,Republican,OR,2,Rep. Cliff Bentz R-OR-2,House,14,6,0.42857142857142855
250906,Russell,Fry,Republican,SC,7,Rep. Russell Fry R-SC-7,House,14,6,0.42857142857142855
196391,Claudia,Tenney,Republican,NY,24,Rep. Claudia Tenney R-NY-24,House,14,6,0.42857142857142855
370297,Diana,Harshbarger,Republican,TN,1,Rep. Diana Harshbarger R-TN-1,House,14,5,0.35714285714285715
259548,David,Kustoff,Republican,TN,8,Rep. David Kustoff R-TN-8,House,14,5,0.35714285714285715
51885,Bob,Latta,Republican,OH,5,Rep. Bob Latta R-OH-5,House,14,5,0.35714285714285715
307520,Tracey,Mann,Republican,KS,1,Rep. Tracey Mann R-KS-1,House,14,5,0.35714285714285715
51507,Michael,McCaul,Republican,TX,10,Rep. Michael McCaul R-TX-10,House,14,5,0.35714285714285715
51612,David,Scott,Democrat,GA,13,Rep. David Scott D-GA-13,House,14,5,0.35714285714285715
51492,Frank,Lucas,Republican,OK,3,Rep. Frank Lucas R-OK-3,House,14,4,0.2857142857142857
128188,Kweisi,Mfume,Democrat,MD,7,Rep. Kweisi Mfume D-MD-7,House,14,4,0.2857142857142857
342886,Beth,Van Duyne,Republican,TX,24,Rep. Beth Van Duyne R-TX-24,House,14,4,0.2857142857142857
219431,Gabe,Vasquez,Democrat,NM,2,Rep. Gabe Vasquez D-NM-2,House,14,4,0.2857142857142857
189182,Andy,Biggs,Republican,AZ,5,Rep. Andy Biggs R-AZ-5,House,14,3,0.21428571428571427
195470,Glenn,Grothman,Republican,WI,6,Rep. Glenn Grothman R-WI-6,House,14,3,0.21428571428571427
306851,John,Joyce,Republican,PA,13,Rep. John Joyce R-PA-13,House,14,3,0.21428571428571427
509930,Kim,King-Hinds,Republican,MP,1,Del. Kim King-Hinds R-MP-1,House,14,3,0.21428571428571427
195239,Carol,Miller,Republican,WV,1,Rep. Carol Miller R-WV-1,House,14,3,0.21428571428571427
370303,Blake,Moore,Republican,UT,1,Rep. Blake Moore R-UT-1,House,14,3,0.21428571428571427
198835,Thomas,Massie,Republican,KY,4,Rep. Thomas Massie R-KY-4,House,14,2,0.14285714285714285
278925,John,McGuire,Republican,VA,5,Rep. John McGuire R-VA-5,House,14,2,0.14285714285714285
259537,John,Rutherford,Republican,FL,5,Rep. John Rutherford R-FL-5,House,14,2,0.14285714285714285
240045,Aaron,Bean,Republican,FL,4,Rep. Aaron Bean R-FL-4,House,14,1,0.071428571
196471,Herb,Conaway,Democrat,NJ,3,Rep. Herb Conaway D-NJ-3,House,14,1,0.071428571
312790,Sarah,Elfreth,Democrat,MD,3,Rep. Sarah Elfreth D-MD-3,House,14,1,0.071428571
313013,Julie,Johnson,Democrat,TX,32,Rep. Julie Johnson D-TX-32,House,14,1,0.071428571
190428,Mark,Messmer,Republican,IN,8,Rep. Mark Messmer R-IN-8,House,14,1,0.071428571
50654,Dave,Min,Democrat,CA,47,Rep. Dave Min D-CA-47,House,14,1,0.071428571
227706,Dan,Newhouse,Republican,WA,4,Rep. Dan Newhouse R-WA-4,House,14,1,0.071428571
191891,Johnny,Olszewski,Democrat,MD,2,Rep. Johnny Olszewski D-MD-2,House,14,1,0.071428571
194221,Scott,Perry,Republican,PA,10,Rep. Scott Perry R-PA-10,House,14,1,0.071428571
194287,Lloyd,Smucker,Republican,PA,11,Rep. Lloyd Smucker R-PA-11,House,14,1,0.071428571
490312,Dave,Taylor,Republican,OH,2,Rep. Dave Taylor R-OH-2,House,14,1,0.071428571
347939,Jake,Auchincloss,Democrat,MA,4,Rep. Jake Auchincloss D-MA-4,House,14,0,0
129734,Maggie,Goodlander,Democrat,NH,2,Rep. Maggie Goodlander D-NH-2,House,14,0,0
307624,Mark,Harris,Republican,NC,8,Rep. Mark Harris R-NC-8,House,14,0,0
198877,April,McClain Delaney,Democrat,MD,6,Rep. April McClain Delaney D-MD-6,House,14,0,0
442516,Kristen,McDonald Rivet,Democrat,MI,8,Rep. Kristen McDonald Rivet D-MI-8,House,14,0,0
260357,Addison,McDowell,Republican,NC,6,Rep. Addison McDowell R-NC-6,House,14,0,0
478640,Derek,Tran,Democrat,CA,45,Rep. Derek Tran D-CA-45,House,14,0,0
435358,Andy,Ogles,Republican,TN,5,Rep. Andy Ogles R-TN-5,House,15,8,0.5333333333333333
2968,Josh,Brecheen,Republican,OK,2,Rep. Josh Brecheen R-OK-2,House,15,7,0.4666666666666667
51856,Steve,Cohen,Democrat,TN,9,Rep. Steve Cohen D-TN-9,House,15,7,0.4666666666666667
411632,Juan,Ciscomani,Republican,AZ,6,Rep. Juan Ciscomani R-AZ-6,House,15,6,0.4
404823,Morgan,Luttrell,Republican,TX,8,Rep. Morgan Luttrell R-TX-8,House,15,6,0.4
387499,Jasmine,Crockett,Democrat,TX,30,Rep. Jasmine Crockett D-TX-30,House,15,5,0.3333333333333333
17888,Vince,Fong,Republican,CA,20,Rep. Vince Fong R-CA-20,House,15,5,0.3333333333333333
41337,Jimmy,Gomez,Democrat,CA,34,Rep. Jimmy Gomez D-CA-34,House,15,5,0.3333333333333333
337881,Marjorie Taylor,Greene,Republican,GA,14,Rep. Marjorie Taylor Greene R-GA-14,House,15,5,0.3333333333333333
54720,Bill,Huizenga,Republican,MI,4,Rep. Bill Huizenga R-MI-4,House,15,5,0.3333333333333333
396825,Julia,Letlow,Republican,LA,5,Rep. Julia Letlow R-LA-5,House,15,5,0.3333333333333333
190192,Barry,Moore,Republican,AL,1,Rep. Barry Moore R-AL-1,House,15,5,0.3333333333333333
242375,Brittany,Pettersen,Democrat,CO,7,Rep. Brittany Pettersen D-CO-7,House,15,5,0.3333333333333333
242608,Tom,Barrett,Republican,MI,7,Rep. Tom Barrett R-MI-7,House,15,4,0.26666666666666666
195413,Michael,Baumgartner,Republican,WA,5,Rep. Michael Baumgartner R-WA-5,House,15,4,0.26666666666666666
263841,Janelle,Bynum,Democrat,OR,5,Rep. Janelle Bynum D-OR-5,House,15,4,0.26666666666666666
80750,Judy,Chu,Democrat,CA,28,Rep. Judy Chu D-CA-28,House,15,4,0.26666666666666666
151733,Paul,Gosar,Republican,AZ,9,Rep. Paul Gosar R-AZ-9,House,15,4,0.26666666666666666
321259,Celeste,Maloy,Republican,UT,2,Rep. Celeste Maloy R-UT-2,House,15,4,0.26666666666666666
250883,Guy,Reschenthaler,Republican,PA,14,Rep. Guy Reschenthaler R-PA-14,House,15,4,0.26666666666666666
309820,Michael,Rulli,Republican,OH,6,Rep. Michael Rulli R-OH-6,House,15,4,0.26666666666666666
173107,Erin,Houchin,Republican,IN,9,Rep. Erin Houchin R-IN-9,House,15,3,0.2
286813,Sydney,Kamlager,Democrat,CA,37,Rep. Sydney Kamlager D-CA-37,House,15,3,0.2
193056,Tim,Kennedy,Democrat,NY,26,Rep. Tim Kennedy D-NY-26,House,15,3,0.2
81211,Nick,LaLota,Republican,NY,1,Rep. Nick LaLota R-NY-1,House,15,3,0.2
3265,Chip,Roy,Republican,TX,21,Rep. Chip Roy R-TX-21,House,15,3,0.2
478639,Rob,Bresnahan,Republican,PA,8,Rep. Rob Bresnahan R-PA-8,House,15,2,0.13333333333333333
407516,Eli,Crane,Republican,AZ,2,Rep. Eli Crane R-AZ-2,House,15,2,0.13333333333333333
253419,Warren,Davidson,Republican,OH,8,Rep. Warren Davidson R-OH-8,House,15,2,0.13333333333333333
56036,Brad,Finstad,Republican,MN,1,Rep. Brad Finstad R-MN-1,House,15,2,0.13333333333333333
242980,Sylvia,Garcia,Democrat,TX,29,Rep. Sylvia Garcia D-TX-29,House,15,2,0.13333333333333333
306829,John,Rose,Republican,TN,6,Rep. John Rose R-TN-6,House,15,2,0.13333333333333333
22560,Marlin,Stutzman,Republican,IN,3,Rep. Marlin Stutzman R-IN-3,House,15,2,0.13333333333333333
260128,Nanette,Barragán,Democrat,CA,44,Rep. Nanette Barragán D-CA-44,House,15,1,0.066666667
422300,Laura,Gillen,Democrat,NY,4,Rep. Laura Gillen D-NY-4,House,15,1,0.066666667
390734,John,Mannion,Democrat,NY,22,Rep. John Mannion D-NY-22,House,15,1,0.066666667
242346,Kevin,Mullin,Democrat,CA,15,Rep. Kevin Mullin D-CA-15,House,15,1,0.066666667
192181,Rashida,Tlaib,Democrat,MI,12,Rep. Rashida Tlaib D-MI-12,House,15,1,0.066666667
471890,Wesley,Bell,Democrat,MO,1,Rep. Wesley Bell D-MO-1,House,15,0,0
196334,George,Latimer,Democrat,NY,16,Rep. George Latimer D-NY-16,House,15,0,0
386222,Sarah,McBride,Democrat,DE,1,Rep. Sarah McBride D-DE,House,15,0,0
26827,Riley,Moore,Republican,WV,2,Rep. Riley Moore R-WV-2,House,15,0,0
198832,Raul,Ruiz,Democrat,CA,25,Rep. Raul Ruiz D-CA-25,House,15,0,0
190067,Buddy,Carter,Republican,GA,1,Rep. Buddy Carter R-GA-1,House,16,15,0.9375
413605,Keith,Self,Republican,TX,3,Rep. Keith Self R-TX-3,House,16,9,0.5625
306852,Dan,Meuser,Republican,PA,9,Rep. Dan Meuser R-PA-9,House,16,8,0.5
194785,Randy,Weber,Republican,TX,14,Rep. Randy Weber R-TX-14,House,16,8,0.5
260129,Clay,Higgins,Republican,LA,3,Rep. Clay Higgins R-LA-3,House,16,7,0.4375
51495,Stephen,Lynch,Democrat,MA,8,Rep. Stephen Lynch D-MA-8,House,16,7,0.4375
195970,Ralph,Norman,Republican,SC,5,Rep. Ralph Norman R-SC-5,House,16,7,0.4375
190391,Jim,Baird,Republican,IN,4,Rep. Jim Baird R-IN-4,House,16,6,0.375
189728,Mike,Haridopolos,Republican,FL,8,Rep. Mike Haridopolos R-FL-8,House,16,6,0.375
417822,Nathaniel,Moran,Republican,TX,1,Rep. Nathaniel Moran R-TX-1,House,16,6,0.375
59657,André,Carson,Democrat,IN,7,Rep. André Carson D-IN-7,House,16,5,0.3125
369609,Andrew,Clyde,Republican,GA,9,Rep. Andrew Clyde R-GA-9,House,16,5,0.3125
242806,Don,Davis,Democrat,NC,1,Rep. Don Davis D-NC-1,House,16,5,0.3125
399217,Dale,Strong,Republican,AL,5,Rep. Dale Strong R-AL-5,House,16,5,0.3125
151747,Daniel,Webster,Republican,FL,11,Rep. Daniel Webster R-FL-11,House,16,5,0.3125
65916,Bill,Foster,Democrat,IL,11,Rep. Bill Foster D-IL-11,House,16,4,0.25
308116,John,James,Republican,MI,10,Rep. John James R-MI-10,House,16,4,0.25
199009,Scott,Peters,Democrat,CA,50,Rep. Scott Peters D-CA-50,House,16,4,0.25
195556,Mark,Pocan,Democrat,WI,2,Rep. Mark Pocan D-WI-2,House,16,4,0.25
189588,Lou,Correa,Democrat,CA,46,Rep. Lou Correa D-CA-46,House,16,3,0.1875
