feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy
region_Northeast,8.945838355047034,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
region_Far West,8.343331086712356,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
cosponsorship_status,7.648581189643731,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
party_Republican,7.182660342732075,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
race_id_Caucasian,5.5875326791199615,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
clean_religion_Catholic,5.491028264638959,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
race_id_Asian American/Pacific Islander,5.21865249771478,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
region_Mid-Atlantic,5.21594036793301,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
region_Great Lakes,5.049201289682774,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
region_Southeast,4.319878915991825,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
party_Democrat,3.807338065075706,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
party_Independent,3.376004436612865,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
clean_religion_Buddhist,3.3553774699209735,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
region_Plains,3.185537039045134,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
region_Rocky Mountain,3.05362815125083,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
clean_religion_Unaffiliation/Unknown,2.9923791685283705,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
is_married,2.9488251005388095,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
region_Southwest,2.8353755969895875,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
race_id_Black,1.9847162016861333,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
years_of_experience,1.6242973887478795,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
military_service,1.5348502019186865,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
years_of_staffer_experience,1.4666666992760895,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
staffer_turnover_rate,1.2841944174526811,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
race_id_Hispanic,1.2117542001377486,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
race_id_Native American,0.4033996611867041,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
clean_religion_Mormon,0.40153800625715197,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
gender_M,0.3717852011148656,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
gender_F,0.3711030421583707,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
age,0.3340767542881747,negative,LogisticRegression,119,1,Senate,1,0.9247311827956989
clean_religion_Protestant Christian,0.3169639113288606,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
clean_religion_Jewish,0.13754429726787723,positive,LogisticRegression,119,1,Senate,1,0.9247311827956989
race_id_Biracial,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989
race_id_Arab,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989
clean_religion_Muslim,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989
committee_membership,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989
clean_religion_Hindu,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989
years_of_staffer_experience,12.53275263218199,negative,RandomForest,119,1,Senate,1,1.0
staffer_turnover_rate,12.151023977900124,negative,RandomForest,119,1,Senate,1,1.0
age,11.933560219007559,negative,RandomForest,119,1,Senate,1,1.0
years_of_experience,10.513131628952745,positive,RandomForest,119,1,Senate,1,1.0
region_Northeast,8.198797197688654,negative,RandomForest,119,1,Senate,1,1.0
region_Far West,6.4258472694885524,negative,RandomForest,119,1,Senate,1,1.0
race_id_Asian American/Pacific Islander,4.404835629935409,negative,RandomForest,119,1,Senate,1,1.0
cosponsorship_status,3.299558393415889,neutral,RandomForest,119,1,Senate,1,1.0
race_id_Caucasian,2.9415157332197563,neutral,RandomForest,119,1,Senate,1,1.0
clean_religion_Buddhist,2.834444368082248,negative,RandomForest,119,1,Senate,1,1.0
party_Democrat,2.6357491542034213,negative,RandomForest,119,1,Senate,1,1.0
party_Republican,2.5418748145921475,neutral,RandomForest,119,1,Senate,1,1.0
clean_religion_Catholic,2.420867329623748,positive,RandomForest,119,1,Senate,1,1.0
gender_F,1.8944535376076266,negative,RandomForest,119,1,Senate,1,1.0
clean_religion_Protestant Christian,1.772857648731491,neutral,RandomForest,119,1,Senate,1,1.0
gender_M,1.6925318069742536,neutral,RandomForest,119,1,Senate,1,1.0
party_Independent,1.6708079602045642,negative,RandomForest,119,1,Senate,1,1.0
clean_religion_Jewish,1.5260072746506168,negative,RandomForest,119,1,Senate,1,1.0
clean_religion_Unaffiliation/Unknown,1.4857761805620544,negative,RandomForest,119,1,Senate,1,1.0
race_id_Black,1.277670498537227,negative,RandomForest,119,1,Senate,1,1.0
is_married,1.2109946517719095,neutral,RandomForest,119,1,Senate,1,1.0
region_Plains,1.1497123427474667,positive,RandomForest,119,1,Senate,1,1.0
region_Great Lakes,0.9578021719123505,positive,RandomForest,119,1,Senate,1,1.0
region_Mid-Atlantic,0.795518717724728,positive,RandomForest,119,1,Senate,1,1.0
military_service,0.5944716299420862,positive,RandomForest,119,1,Senate,1,1.0
region_Southeast,0.5754631746301799,positive,RandomForest,119,1,Senate,1,1.0
region_Rocky Mountain,0.43194691210623826,positive,RandomForest,119,1,Senate,1,1.0
region_Southwest,0.07782811352270647,positive,RandomForest,119,1,Senate,1,1.0
race_id_Hispanic,0.052199030082252004,positive,RandomForest,119,1,Senate,1,1.0
clean_religion_Muslim,0.0,neutral,RandomForest,119,1,Senate,1,1.0
clean_religion_Mormon,0.0,positive,RandomForest,119,1,Senate,1,1.0
race_id_Arab,0.0,neutral,RandomForest,119,1,Senate,1,1.0
committee_membership,0.0,neutral,RandomForest,119,1,Senate,1,1.0
clean_religion_Hindu,0.0,neutral,RandomForest,119,1,Senate,1,1.0
race_id_Biracial,0.0,neutral,RandomForest,119,1,Senate,1,1.0
race_id_Native American,0.0,positive,RandomForest,119,1,Senate,1,1.0
cosponsorship_status,48.93709945678711,neutral,XGBoost,119,1,Senate,1,1.0
party_Republican,12.413445472717285,neutral,XGBoost,119,1,Senate,1,1.0
staffer_turnover_rate,10.718215942382812,negative,XGBoost,119,1,Senate,1,1.0
clean_religion_Catholic,8.089234352111816,positive,XGBoost,119,1,Senate,1,1.0
clean_religion_Protestant Christian,5.4195876121521,neutral,XGBoost,119,1,Senate,1,1.0
years_of_staffer_experience,4.291008949279785,negative,XGBoost,119,1,Senate,1,1.0
years_of_experience,3.122426748275757,positive,XGBoost,119,1,Senate,1,1.0
