feature,importance_pct,direction,model,congress,session,chamber,roll_call_number,model_accuracy,sample_size,yes_votes,no_votes
race_id_Caucasian,5.340967761993441,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
cosponsorship_status,4.608498750791089,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
clean_religion_Catholic,4.346152131465673,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_Republican,4.316117579874641,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_cosponsor_Republican_1,4.239208973107929,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
years_of_experience,4.117089282597784,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
region_Northeast,3.7953326155521028,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
years_of_staffer_experience,3.7489643665312724,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
experience_ratio,3.733241514140711,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Democrat_Far West,3.4036710724605963,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
region_Far West,3.2672758463652114,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
race_id_Asian American/Pacific Islander,3.1291340326039183,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
seniority_Senior,3.009125576496489,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Democrat_Northeast,2.8010170370695637,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
region_Great Lakes,2.7288517349432344,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
region_Mid-Atlantic,2.6315823062240393,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Democrat_Mid-Atlantic,2.5672621381513685,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
gender_F,2.529034530473846,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Democrat_Great Lakes,2.5198427474777434,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
clean_religion_Buddhist,2.3795371047127203,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
region_Southeast,2.349736954078001,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Democrat_Plains,2.3050406360079503,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
region_Southwest,2.042925723282847,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
region_Rocky Mountain,1.6973435518723015,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
military_service,1.4271038889560346,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Democrat_Southwest,1.3970763224105944,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Southeast,1.3625653423191335,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Plains,1.2811340577501766,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Democrat_Rocky Mountain,1.1430697068808782,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_Independent,1.0568861307906505,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_cosponsor_Independent_0,1.0568861307906505,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Independent_Northeast,1.0568861307906505,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
clean_religion_Jewish,1.030618771677051,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
region_Plains,1.023906578257774,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
race_id_Hispanic,1.0031667374251894,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Democrat_Southeast,0.9871716117588678,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
clean_religion_Protestant Christian,0.9050727031745491,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
seniority_Mid,0.8804973305735425,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
gender_M,0.8348906997514935,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
clean_religion_Unaffiliation/Unknown,0.7915306081569669,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
staffer_turnover_rate,0.760494076714847,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Southwest,0.6458494008722521,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
seniority_Junior,0.6333928192035349,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Rocky Mountain,0.5542738449914231,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_cosponsor_Democrat_1,0.3692897776831592,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
race_id_Native American,0.3112708530236344,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_cosponsor_Democrat_0,0.26459599654181987,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
clean_religion_Mormon,0.253149336777747,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
age,0.24223158801228503,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
seniority_Freshman,0.2393221726237124,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Great Lakes,0.2090089874654904,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
race_id_Black,0.16234608961300842,negative,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Far West,0.1363952260953847,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_Democrat,0.10469378114133926,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_cosponsor_Republican_0,0.07690860676671146,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
is_married,0.06447000235419813,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
party_region_Republican_Mid-Atlantic,0.06432016807267042,positive,LogisticRegression,119,1,Senate,1,0.9354838709677419,93,84,9
