feature,importance_pct,mean_shap_value,mean_abs_shap_value,direction,model,congress,session,chamber,roll_call_number,model_accuracy,sample_size,yes_votes,no_votes
cosponsorship_status,13.525235114336384,-8.356517389651716e-18,0.4129589155248,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
party_Republican,12.760906841348596,-2.2681975771911802e-17,0.38962208093007905,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
region_Northeast,8.206404415550086,4.5363951543823603e-17,0.25056184525852293,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
clean_religion_Catholic,7.113960519928848,-1.6713034779303432e-17,0.21720682831473287,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
party_Democrat,6.694745063556189,-8.654964439282134e-18,0.2044071424851397,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
region_Southeast,5.231198160417348,-2.3875763970433476e-18,0.15972143189817448,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
race_id_Caucasian,5.125685377949071,-4.327482219641067e-17,0.15649986540755442,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
region_Far West,4.705709710487112,2.477110511932473e-17,0.14367696845117836,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
years_of_staffer_experience,4.363679469359727,-1.4325458382260084e-17,0.13323393834792083,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
years_of_experience,4.316643177295636,-1.1937881985216737e-17,0.13179780389281578,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
region_Great Lakes,3.475981999428146,-4.625929269271485e-18,0.10613033671747768,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
region_Mid-Atlantic,3.270628034536115,-3.5216751856389374e-17,0.09986037172806007,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
is_married,3.0132590137682875,2.0518234662091267e-17,0.09200225829731423,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
region_Plains,2.9222308950362113,1.3430117233368829e-18,0.08922294445351896,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
staffer_turnover_rate,2.8254544368382155,-5.9689409926083686e-18,0.08626811957336483,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
region_Rocky Mountain,2.102185252226654,5.3720468933475315e-18,0.06418492060604311,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
military_service,1.8586413436427942,5.968940992608369e-19,0.056748922080231426,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
region_Southwest,1.599175957535883,-5.745105705385555e-18,0.048826801425237494,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
race_id_Asian American/Pacific Islander,1.168688807600917,-8.729576201689739e-18,0.035682962883305566,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
clean_religion_Unaffiliation/Unknown,1.0920588460484313,5.6704939429779504e-18,0.03334326042697793,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
age,0.9809221853937331,7.162729191130042e-18,0.029949983011019036,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
race_id_Black,0.7243155906652387,-1.701148182893385e-17,0.022115148334964665,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
clean_religion_Protestant Christian,0.5536622664214829,-2.42488227824715e-18,0.016904679820764556,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
party_Independent,0.5096254859602114,4.21556457602966e-18,0.015560127881463007,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
gender_M,0.4816703020192632,-1.3989705451425863e-18,0.014706586900773245,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
gender_F,0.48078652367194225,8.020764458817495e-19,0.014679602959659565,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
race_id_Hispanic,0.44222567360925763,5.968940992608369e-19,0.013502244733426469,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
clean_religion_Buddhist,0.2560389003783278,0.0,0.007817501561974466,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
clean_religion_Mormon,0.0899222498421982,-9.792793815998104e-20,0.0027455489285375186,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
clean_religion_Jewish,0.07757615376265975,7.461176240760461e-20,0.0023685920472063405,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
race_id_Native American,0.03078223138503308,-3.2176322538279487e-19,0.0009398577387185351,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
race_id_Biracial,0.0,0.0,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
race_id_Arab,0.0,0.0,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
clean_religion_Muslim,0.0,0.0,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
committee_membership,0.0,0.0,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
clean_religion_Hindu,0.0,0.0,0.0,neutral,LogisticRegression,119,1,Senate,1,0.9247311827956989,93,84,9
years_of_staffer_experience,12.53275263218199,0.0,0.12532752632181987,neutral,RandomForest,119,1,Senate,1,1.0,93,84,9
